Licencia,Nombre del Arquero,Federación,Categoría,Temporada,T1,T2,T3,T4,T5,Media
14550,Luis Bañeres Caus,MAD,Longbow Senior,2022 - 2023,492,477,487,473,507,487.2
14573,Francisco Payan Gonzalez,AND,Compuesto Veterano (+50),2021 - 2022,546,553,567,564,,557.5
14573,Francisco Payan Gonzalez,AND,Compuesto Senior,2022 - 2023,550,559,545,557,0,552.8
14654,Angel Carretero Martinez,AND,Compuesto Veterano (+50),2019 - 2020,571,573,561,0,0,568.3
14654,Angel Carretero Martinez,AND,Compuesto Veterano (+50),2021 - 2022,561,564,557,572,,563.5
14654,Angel Carretero Martinez,AND,Compuesto Senior,2022 - 2023,551,562,562,0,0,558.3
14708,Alejandro Gonzalez Toro,MAD,Recurvo Senior,2017 - 2018,503,456,0,477,0,478.7
14768,Óscar Lorenzo Artiles,CAN,Compuesto Senior,2021 - 2022,558,554,0,545,0,552.3
14771,Jorge García Martínez,VAL,Recurvo Senior,2021 - 2022,503,537,,512,502,513.5
14807,Fermin Espinosa Perez,VAL,Recurvo Veterano (+50),2019 - 2020,523,548,539,522,0,533
14807,Fermin Espinosa Perez,VAL,Recurvo Veterano (+50),2021 - 2022,533,519,527,541,535,531
14807,Fermin Espinosa Perez,VAL,Recurvo Senior,2022 - 2023,518,511,513,523,0,516.3
14877,Juan Blanco Maudes,MAD,Longbow Veterano (+50),2018 - 2019,160,0,160,166,181,166.8
14877,Juan Blanco Maudes,MAD,Longbow Veterano (+50),2017 - 2018,171,179,178,154,0,170.5
14877,Juan Blanco Maudes,MAD,Longbow Veterano (+50),2019 - 2020,167,168,187,166,164,170.4
14877,Juan Blanco Maudes,MAD,Longbow Veterano (+50),2020 - 2021,432,440,453,435,0,440
14877,Juan Blanco Maudes,MAD,Longbow Veterano (+50),2021 - 2022,424,0,438,459,443,441
14961,Cesar Vera Bringas,BAL,Desnudo Veterano (+50),2018 - 2019,0,273,304,0,283,286.7
14961,Cesar Vera Bringas,BAL,Desnudo Senior,2017 - 2018,0,293,0,281,298,290.7
14961,Cesar Vera Bringas,BAL,Desnudo Senior,2019 - 2020,540,496,518,520,0,518.5
14961,Cesar Vera Bringas,BAL,Desnudo Senior,2020 - 2021,525,537,558,546,542,541.6
14961,Cesar Vera Bringas,BAL,Desnudo Senior,2021 - 2022,0,547,556,551,552,551.5
14961,Cesar Vera Bringas,BAL,Desnudo Senior,2022 - 2023,518,540,509,0,520,521.8
14991,Ferran Ortega Guerra,CAT,Desnudo Veterano (+50),2017 - 2018,230,226,241,0,221,229.5
